iter	Passed	Remaining
399	27888	61076
400	27949	60986
401	28013	60904
402	28081	60830
403	28151	60763
404	28222	60695
405	28283	60606
406	28348	60527
407	28417	60457
408	28485	60383
409	28553	60310
410	28619	60233
411	28691	60168
412	28765	60108
413	28828	60023
414	28895	59948
415	28959	59868
416	29034	59809
417	29107	59747
418	29173	59669
419	29238	59590
420	29303	59510
421	29367	59430
422	29433	59354
423	29498	59275
424	29560	59191
425	29623	59108
426	29689	59031
427	29746	58936
428	29804	58845
429	29873	58774
430	29936	58692
431	30007	58624
432	30078	58560
433	30143	58482
434	30217	58420
435	30285	58348
436	30354	58277
437	30419	58199
438	30491	58134
439	30555	58054
440	30622	57980
441	30687	57902
442	30756	57833
443	30823	57759
444	30893	57691
445	30957	57611
446	31027	57543
447	31097	57475
448	31168	57407
449	31235	57335
450	31304	57264
451	31373	57194
452	31445	57128
453	31508	57048
454	31571	56967
455	31643	56902
456	31696	56804
457	31768	56738
458	31832	56660
459	31906	56600
460	31980	56537
461	32050	56469
462	32118	56398
463	32191	56335
464	32269	56280
465	32339	56213
466	32410	56145
467	32480	56077
468	32544	55998
469	32612	55927
470	32670	55837
471	32742	55773
472	32812	55704
473	32880	55633
474	32950	55564
475	33018	55492
476	33079	55410
477	33142	55329
478	33211	55260
479	33284	55196
480	33346	55114
481	33416	55047
482	33482	54972
483	33552	54904
484	33624	54838
485	33698	54776
486	33761	54697
487	33835	54636
488	33910	54575
489	33982	54510
490	34046	54432
491	34123	54375
492	34194	54308
493	34260	54234
494	34312	54137
495	34379	54064
496	34450	53997
497	34514	53919
498	34586	53855
499	34658	53790
500	34735	53731
501	34803	53660
502	34866	53581
503	34935	53511
504	34996	53430
505	35054	53343
506	35120	53269
507	35186	53195
508	35260	53133
509	35332	53067
510	35404	53002
511	35470	52929
512	35541	52861
513	35612	52794
514	35682	52726
515	35752	52658
516	35823	52591
517	35895	52526
518	35965	52458
519	36031	52383
520	36094	52305
521	36165	52238
522	36228	52160
523	36290	52080
524	36366	52021
525	36435	51951
526	36502	51879
527	36569	51807
528	36640	51739
529	36707	51666
530	36774	51594
531	36843	51525
532	36909	51451
533	36978	51381
534	37048	51313
535	37119	51247
536	37191	51182
537	37262	51114
538	37327	51040
539	37397	50971
540	37469	50905
541	37540	50839
542	37609	50769
543	37674	50694
544	37740	50620
545	37803	50543
546	37872	50472
547	37943	50406
548	38006	50329
549	38073	50256
550	38139	50183
551	38200	50103
552	38262	50024
553	38323	49945
554	38396	49880
555	38457	49801
556	38521	49725
557	38581	49644
558	38644	49567
559	38717	49503
560	38781	49427
561	38855	49364
562	38919	49288
563	38984	49214
564	39055	49147
565	39120	49073
566	39190	49005
567	39258	48934
568	39330	48869
569	39398	48798
570	39461	48722
571	39524	48645
572	39590	48572
573	39660	48505
574	39731	48438
575	39798	48366
576	39871	48301
577	39938	48230
578	39998	48150
579	40073	48088
580	40132	48006
581	40205	47943
582	40276	47876
583	40344	47805
584	40405	47726
585	40479	47663
586	40553	47600
587	40623	47532
588	40710	47484
589	40804	47443
590	40875	47376
