iter	MAE
0	0.5600497689
1	0.5555930266
2	0.5512671697
3	0.5475027201
4	0.5438638336
5	0.5399801476
6	0.5369728213
7	0.5341388006
8	0.5311569528
9	0.5283720872
10	0.5257643313
11	0.5232943128
12	0.5210013423
13	0.5184484345
14	0.5163336506
15	0.5148326516
16	0.5133426446
17	0.511814886
18	0.5108166568
19	0.5094287124
20	0.5080285198
21	0.506807473
22	0.5057376531
23	0.5042503926
24	0.5032841554
25	0.502440705
26	0.5016119121
27	0.5004873592
28	0.4989180682
29	0.4979863855
30	0.4969954642
31	0.4961141425
32	0.4954213474
33	0.4943106338
34	0.4929360154
35	0.4919901414
36	0.4913014251
37	0.4905386326
38	0.4897707216
39	0.4888939895
40	0.4880776495
41	0.4875730053
42	0.4867260209
43	0.4858740486
44	0.485572525
45	0.4850445844
46	0.4846318229
47	0.484256898
48	0.4840413272
49	0.4832316796
50	0.4829515034
51	0.4827363802
52	0.4824913266
53	0.482272716
54	0.4819069153
55	0.4812414816
56	0.4807297805
57	0.4801202068
58	0.4796190073
59	0.4793336635
60	0.4787526562
61	0.4782594185
62	0.4778438611
63	0.4773537015
64	0.4771691535
65	0.4769447819
66	0.4766554
67	0.4759876425
68	0.4752579284
69	0.4749605947
70	0.4745582791
71	0.4742586669
72	0.4741138168
73	0.4734251666
74	0.4731657904
75	0.4728250081
76	0.4725299692
77	0.4723681603
78	0.4721556462
79	0.4719646818
80	0.4714638836
81	0.47096429
82	0.4705799993
83	0.4703732254
84	0.4700613856
85	0.4696881309
86	0.4691805627
87	0.468752546
88	0.4685014288
89	0.4682879411
90	0.4680512767
91	0.4676757634
92	0.4673530897
93	0.4672040949
94	0.4670320562
95	0.4666440272
96	0.4663458791
97	0.4659310587
98	0.4656678519
99	0.4654032422
100	0.4651985993
101	0.4648519808
102	0.4646583446
103	0.4645039005
104	0.4643785243
105	0.4639886505
106	0.4637309812
107	0.4635149331
108	0.463212669
109	0.4630430577
110	0.4628525009
111	0.4627089139
112	0.4624515186
113	0.4622158251
114	0.4620550484
115	0.4618766031
116	0.461660704
117	0.461365497
118	0.4612721993
119	0.4610327739
120	0.4608936584
121	0.4606387054
122	0.4603952893
123	0.460272228
124	0.4602018483
125	0.4601274389
126	0.4599129932
127	0.459754746
128	0.4594845486
129	0.4592549742
130	0.4590561799
131	0.4589466017
132	0.4587305242
133	0.458479948
134	0.4582689512
135	0.4582328423
136	0.4581081554
137	0.4580410697
138	0.4579452864
139	0.4577437787
140	0.4576883213
141	0.4576353946
142	0.4574496655
143	0.4574211051
144	0.457268123
145	0.4571412544
146	0.4568917978
147	0.456822232
148	0.4567508322
149	0.4565943602
150	0.4563005495
151	0.4561989034
152	0.4560790747
153	0.4560351002
154	0.4558924464
155	0.4556855308
156	0.455598218
157	0.4553316068
158	0.4551337436
159	0.4550364093
160	0.4548089945
161	0.454631037
162	0.4544080971
163	0.4541787045
164	0.4540952461
165	0.4539898533
166	0.4538541183
167	0.4537128652
168	0.4535890115
169	0.4534797019
170	0.4532869756
171	0.4531133265
172	0.4530345366
173	0.4528967851
174	0.452863741
175	0.4527395447
176	0.4526176789
177	0.4524504157
178	0.4524006307
179	0.4523065107
180	0.4521816483
181	0.4519721806
182	0.4519149975
183	0.4518190978
184	0.4517775967
185	0.45163845
186	0.4515913253
187	0.4514988761
188	0.4513822177
189	0.4513116597
190	0.4511664155
191	0.4510980607
192	0.4510250408
193	0.4509965461
194	0.450978516
195	0.4508641545
196	0.4507808057
197	0.4506946773
198	0.4505167717
199	0.4504919618
200	0.4504213348
201	0.4503791296
202	0.4503132366
203	0.4502310297
204	0.4501919912
205	0.4501134963
206	0.4500651775
207	0.4500302993
208	0.4499157223
209	0.4497699641
210	0.4497427073
211	0.4496568302
212	0.449641354
213	0.4496093126
214	0.4495500794
215	0.449387834
216	0.4492423634
217	0.4492030824
218	0.4491605028
219	0.449115446
220	0.4490549219
221	0.4489680304
222	0.4489314227
223	0.4489068352
224	0.4488763542
225	0.4488470768
226	0.4487962306
227	0.4487078204
228	0.4486174447
229	0.4485479857
230	0.4484720657
231	0.4484560028
232	0.44843016
233	0.4483930456
234	0.4483482437
235	0.4483231855
236	0.4483039953
237	0.4482683391
238	0.4482293469
239	0.4481662914
240	0.4480632314
241	0.4480171039
242	0.4479552196
243	0.4478733501
244	0.4478273866
245	0.447803019
246	0.4477885315
247	0.4477611678
248	0.4476446098
249	0.4476318508
250	0.4475710683
251	0.447525474
252	0.4474991145
253	0.4474156181
254	0.4473952567
255	0.4472392014
256	0.4470956046
257	0.4469782876
258	0.4468459014
259	0.4467383664
260	0.4466588242
261	0.4464736876
262	0.4462994885
